Lookback,CAGR,Volatility,Sharpe,Max Drawdown,Trades,Profit Factor
10,0.09133127611090086,0.3636497061919893,0.4283509262592681,-0.4358142958196888,275,1.1362968046061679
15,0.18405223731596765,0.3618942725203489,0.6575058793511914,-0.3317706874080033,183,2.2110257130479685
20,0.17004631306169604,0.3669560920269934,0.6207430986212822,-0.33177068740800353,141,2.2339287427079593
30,0.14706116684666415,0.37341658258822363,0.5623214538855468,-0.3549054962823228,101,2.434170392212768
40,0.1477868618898741,0.3736192987168771,0.5638407659434265,-0.44300801714491533,79,2.861411662154118
60,0.1592380590155138,0.3796610303146416,0.5869495218493574,-0.5092953707203356,47,4.150038144847064
